Summary
[Data Information]
Data is:,Original
361.5,0.056
362.0,0.056
362.5,0.056
363.0,0.056
363.5,0.056
364.0,0.057
364.5,0.057
365.0,0.057
365.5,0.057
366.0,0.058
366.5,0.058
367.0,0.058
367.5,0.058
368.0,0.059
368.5,0.059
369.0,0.059
369.5,0.059
370.0,0.060
370.5,0.059
371.0,0.059
371.5,0.059
372.0,0.059
372.5,0.060
373.0,0.060
373.5,0.060
374.0,0.061
374.5,0.061
375.0,0.062
375.5,0.062
376.0,0.062
376.5,0.062
377.0,0.062
377.5,0.062
378.0,0.062
378.5,0.062
379.0,0.063
379.5,0.062
380.0,0.062
380.5,0.063
381.0,0.063
381.5,0.064
382.0,0.064
382.5,0.064
383.0,0.064
383.5,0.064
384.0,0.063
384.5,0.064
385.0,0.064
385.5,0.064
386.0,0.064
386.5,0.065
387.0,0.065
387.5,0.066
388.0,0.065
388.5,0.066
389.0,0.065
389.5,0.066
390.0,0.066
390.5,0.066
391.0,0.066
391.5,0.066
392.0,0.066
392.5,0.066
393.0,0.067
393.5,0.067
394.0,0.067
394.5,0.067
395.0,0.067
395.5,0.067
396.0,0.068
396.5,0.068
397.0,0.069
397.5,0.069
398.0,0.069
398.5,0.069
399.0,0.069
399.5,0.069
400.0,0.069
400.5,0.069
401.0,0.070
401.5,0.070
402.0,0.070
402.5,0.071
403.0,0.071
403.5,0.071
404.0,0.071
404.5,0.071
405.0,0.072
405.5,0.072
406.0,0.073
406.5,0.073
407.0,0.073
407.5,0.073
408.0,0.073
408.5,0.074
409.0,0.074
409.5,0.075
410.0,0.075
410.5,0.076
411.0,0.076
411.5,0.076
412.0,0.077
412.5,0.077
413.0,0.077
413.5,0.077
414.0,0.078
414.5,0.078
415.0,0.078
415.5,0.078
416.0,0.079
416.5,0.079
417.0,0.079
417.5,0.079
418.0,0.079
418.5,0.079
419.0,0.079
419.5,0.079
420.0,0.079
420.5,0.079
421.0,0.080
421.5,0.079
422.0,0.079
422.5,0.079
423.0,0.079
423.5,0.079
424.0,0.078
424.5,0.078
425.0,0.078
425.5,0.078
426.0,0.078
426.5,0.078
427.0,0.077
427.5,0.077
428.0,0.077
428.5,0.077
429.0,0.077
429.5,0.076
430.0,0.076
430.5,0.075
431.0,0.075
431.5,0.075
432.0,0.075
432.5,0.075
433.0,0.074
433.5,0.074
434.0,0.073
434.5,0.073
435.0,0.073
435.5,0.072
436.0,0.072
436.5,0.072
437.0,0.071
437.5,0.071
438.0,0.071
438.5,0.071
439.0,0.071
439.5,0.070
440.0,0.070
440.5,0.070
441.0,0.070
441.5,0.069
442.0,0.069
442.5,0.069
443.0,0.069
443.5,0.068
444.0,0.069
444.5,0.068
445.0,0.068
445.5,0.068
446.0,0.068
446.5,0.067
447.0,0.067
447.5,0.067
448.0,0.067
448.5,0.067
449.0,0.066
449.5,0.067
450.0,0.066
450.5,0.066
451.0,0.066
451.5,0.066
452.0,0.066
452.5,0.066
453.0,0.066
453.5,0.066
454.0,0.066
454.5,0.066
455.0,0.066
455.5,0.066
456.0,0.066
456.5,0.066
457.0,0.066
457.5,0.066
458.0,0.066
458.5,0.066
459.0,0.066
459.5,0.065
460.0,0.065
460.5,0.065
461.0,0.065
461.5,0.065
462.0,0.065
462.5,0.065
463.0,0.066
463.5,0.066
464.0,0.066
464.5,0.066
465.0,0.066
465.5,0.065
466.0,0.065
466.5,0.065
467.0,0.065
467.5,0.065
468.0,0.065
468.5,0.065
469.0,0.065
469.5,0.065
470.0,0.065
470.5,0.065
471.0,0.065
471.5,0.065
472.0,0.065
472.5,0.065
473.0,0.066
473.5,0.066
474.0,0.066
474.5,0.066
475.0,0.066
475.5,0.065
476.0,0.065
476.5,0.065
477.0,0.065
477.5,0.065
478.0,0.065
478.5,0.065
479.0,0.065
479.5,0.065
480.0,0.066
480.5,0.066
481.0,0.066
481.5,0.066
482.0,0.066
482.5,0.066
483.0,0.065
483.5,0.066
484.0,0.066
484.5,0.066
485.0,0.066
485.5,0.066
486.0,0.066
486.5,0.066
487.0,0.066
487.5,0.066
488.0,0.066
488.5,0.066
489.0,0.066
489.5,0.066
490.0,0.067
490.5,0.067
491.0,0.066
491.5,0.067
492.0,0.067
492.5,0.067
493.0,0.067
493.5,0.067
494.0,0.067
494.5,0.067
495.0,0.067
495.5,0.067
496.0,0.067
496.5,0.067
497.0,0.067
497.5,0.067
498.0,0.067
498.5,0.068
499.0,0.068
499.5,0.068
500.0,0.068
500.5,0.068
501.0,0.068
501.5,0.068
502.0,0.068
502.5,0.068
503.0,0.068
503.5,0.068
504.0,0.069
504.5,0.069
505.0,0.069
505.5,0.069
506.0,0.069
506.5,0.069
507.0,0.069
507.5,0.070
508.0,0.070
508.5,0.070
509.0,0.070
509.5,0.070
510.0,0.070
510.5,0.070
511.0,0.070
511.5,0.070
512.0,0.071
512.5,0.071
513.0,0.071
513.5,0.072
514.0,0.072
514.5,0.072
515.0,0.072
515.5,0.072
516.0,0.072
516.5,0.072
517.0,0.072
517.5,0.072
518.0,0.073
518.5,0.073
519.0,0.073
519.5,0.073
520.0,0.073
520.5,0.073
521.0,0.073
521.5,0.073
522.0,0.073
522.5,0.073
523.0,0.073
523.5,0.074
524.0,0.074
524.5,0.074
525.0,0.073
525.5,0.074
526.0,0.074
526.5,0.074
527.0,0.074
527.5,0.074
528.0,0.074
528.5,0.074
529.0,0.074
529.5,0.074
530.0,0.074
530.5,0.074
531.0,0.074
531.5,0.074
532.0,0.074
532.5,0.074
533.0,0.074
533.5,0.074
534.0,0.074
534.5,0.075
535.0,0.075
535.5,0.074
536.0,0.074
536.5,0.074
537.0,0.074
537.5,0.074
538.0,0.074
538.5,0.074
539.0,0.074
539.5,0.075
540.0,0.075
540.5,0.075
541.0,0.074
541.5,0.074
542.0,0.074
542.5,0.075
543.0,0.074
543.5,0.074
544.0,0.074
544.5,0.075
545.0,0.075
545.5,0.075
546.0,0.075
546.5,0.075
547.0,0.075
547.5,0.075
548.0,0.075
548.5,0.075
549.0,0.075
549.5,0.075
550.0,0.075
550.5,0.075
551.0,0.075
551.5,0.075
552.0,0.075
552.5,0.076
553.0,0.076
553.5,0.076
554.0,0.076
554.5,0.076
555.0,0.076
555.5,0.077
556.0,0.077
556.5,0.077
557.0,0.077
557.5,0.077
558.0,0.077
558.5,0.077
559.0,0.077
559.5,0.077
560.0,0.077
560.5,0.078
561.0,0.078
561.5,0.078
562.0,0.078
562.5,0.078
563.0,0.078
563.5,0.078
564.0,0.078
564.5,0.078
565.0,0.078
565.5,0.078
566.0,0.078
566.5,0.078
567.0,0.078
567.5,0.078
568.0,0.078
568.5,0.078
569.0,0.078
569.5,0.079
570.0,0.079
570.5,0.079
571.0,0.079
571.5,0.079
572.0,0.079
572.5,0.078
573.0,0.079
573.5,0.078
574.0,0.078
574.5,0.078
575.0,0.079
575.5,0.079
576.0,0.079
576.5,0.079
577.0,0.078
577.5,0.078
578.0,0.078
578.5,0.078
579.0,0.078
579.5,0.078
580.0,0.079
580.5,0.079
581.0,0.079
581.5,0.079
582.0,0.079
582.5,0.079
583.0,0.079
583.5,0.079
584.0,0.079
584.5,0.079
585.0,0.079
585.5,0.079
586.0,0.079
586.5,0.079
587.0,0.079
587.5,0.079
588.0,0.079
588.5,0.079
589.0,0.079
589.5,0.080
590.0,0.080
590.5,0.080
591.0,0.080
591.5,0.080
592.0,0.080
592.5,0.080
593.0,0.080
593.5,0.080
594.0,0.080
594.5,0.080
595.0,0.081
595.5,0.081
596.0,0.081
596.5,0.080
597.0,0.080
597.5,0.081
598.0,0.081
598.5,0.081
599.0,0.081
599.5,0.081
600.0,0.081
600.5,0.081
601.0,0.081
601.5,0.081
602.0,0.081
602.5,0.081
603.0,0.081
603.5,0.081
604.0,0.081
604.5,0.081
605.0,0.081
605.5,0.081
606.0,0.081
606.5,0.081
607.0,0.081
607.5,0.081
608.0,0.080
608.5,0.080
609.0,0.080
609.5,0.081
610.0,0.081
610.5,0.081
611.0,0.081
611.5,0.080
612.0,0.080
612.5,0.080
613.0,0.080
613.5,0.080
614.0,0.080
614.5,0.080
615.0,0.080
615.5,0.080
616.0,0.080
616.5,0.080
617.0,0.080
617.5,0.079
618.0,0.079
618.5,0.079
619.0,0.079
619.5,0.079
620.0,0.079
620.5,0.079
621.0,0.079
621.5,0.079
622.0,0.078
622.5,0.079
623.0,0.078
623.5,0.078
624.0,0.078
624.5,0.078
625.0,0.078
625.5,0.078
626.0,0.078
626.5,0.079
627.0,0.079
627.5,0.078
628.0,0.078
628.5,0.078
629.0,0.078
629.5,0.078
630.0,0.078
630.5,0.078
631.0,0.079
631.5,0.079
632.0,0.079
632.5,0.079
633.0,0.079
633.5,0.078
634.0,0.079
634.5,0.079
635.0,0.079
635.5,0.079
636.0,0.079
636.5,0.079
637.0,0.080
637.5,0.080
638.0,0.080
638.5,0.080
639.0,0.080
639.5,0.080
640.0,0.081
640.5,0.081
641.0,0.082
641.5,0.082
642.0,0.082
642.5,0.082
643.0,0.082
643.5,0.082
644.0,0.083
644.5,0.083
645.0,0.083
645.5,0.084
646.0,0.084
646.5,0.084
647.0,0.085
647.5,0.085
648.0,0.085
648.5,0.085
649.0,0.085
649.5,0.086
650.0,0.086
650.5,0.085
651.0,0.086
651.5,0.086
652.0,0.086
652.5,0.086
653.0,0.086
653.5,0.086
654.0,0.087
654.5,0.087
655.0,0.087
655.5,0.087
656.0,0.087
656.5,0.087
657.0,0.087
657.5,0.087
658.0,0.087
658.5,0.087
659.0,0.087
659.5,0.087
660.0,0.087
660.5,0.087
661.0,0.087
661.5,0.087
662.0,0.087
662.5,0.087
663.0,0.086
663.5,0.086
664.0,0.086
664.5,0.087
665.0,0.087
665.5,0.086
666.0,0.086
666.5,0.086
667.0,0.086
667.5,0.086
668.0,0.086
668.5,0.085
669.0,0.085
669.5,0.085
670.0,0.085
670.5,0.085
671.0,0.085
671.5,0.085
672.0,0.085
672.5,0.085
673.0,0.085
673.5,0.084
674.0,0.084
674.5,0.084
675.0,0.084
675.5,0.084
676.0,0.083
676.5,0.083
677.0,0.083
677.5,0.082
678.0,0.082
678.5,0.082
679.0,0.082
679.5,0.082
680.0,0.081
680.5,0.081
681.0,0.081
681.5,0.080
682.0,0.080
682.5,0.080
683.0,0.080
683.5,0.080
684.0,0.080
684.5,0.079
685.0,0.079
685.5,0.079
686.0,0.078
686.5,0.078
687.0,0.078
687.5,0.078
688.0,0.077
688.5,0.077
689.0,0.077
689.5,0.077
690.0,0.076
690.5,0.076
691.0,0.075
691.5,0.075
692.0,0.075
692.5,0.074
693.0,0.074
693.5,0.074
694.0,0.074
694.5,0.073
695.0,0.073
695.5,0.073
696.0,0.073
696.5,0.073
697.0,0.072
697.5,0.072
698.0,0.071
698.5,0.071
699.0,0.071
699.5,0.070
700.0,0.070
700.5,0.070
701.0,0.069
701.5,0.069
702.0,0.069
702.5,0.068
703.0,0.069
703.5,0.068
704.0,0.068
704.5,0.067
705.0,0.066
705.5,0.066
706.0,0.066
706.5,0.066
707.0,0.065
707.5,0.065
708.0,0.065
708.5,0.064
709.0,0.064
709.5,0.063
710.0,0.063
710.5,0.063
711.0,0.062
711.5,0.062
712.0,0.062
712.5,0.061
713.0,0.061
713.5,0.060
714.0,0.060
714.5,0.059
715.0,0.059
715.5,0.059
716.0,0.058
716.5,0.057
717.0,0.057
717.5,0.057
718.0,0.057
718.5,0.056
719.0,0.055
719.5,0.055
720.0,0.055
720.5,0.054
721.0,0.054
721.5,0.053
722.0,0.053
722.5,0.053
723.0,0.052
723.5,0.051
724.0,0.051
724.5,0.051
725.0,0.051
725.5,0.050
726.0,0.049
726.5,0.049
727.0,0.048
727.5,0.048
728.0,0.048
728.5,0.047
729.0,0.046
729.5,0.046
730.0,0.046
730.5,0.045
731.0,0.044
731.5,0.044
732.0,0.044
732.5,0.043
733.0,0.043
733.5,0.042
734.0,0.041
734.5,0.041
735.0,0.040
735.5,0.040
736.0,0.039
736.5,0.038
737.0,0.038
737.5,0.038
738.0,0.038
738.5,0.038
739.0,0.037
739.5,0.036
740.0,0.036
740.5,0.035
741.0,0.034
741.5,0.034
742.0,0.033
742.5,0.033
743.0,0.032
743.5,0.031
744.0,0.031
744.5,0.031
745.0,0.031
745.5,0.031
746.0,0.030
746.5,0.030
747.0,0.030
747.5,0.029
748.0,0.028
748.5,0.028
749.0,0.028
749.5,0.027
750.0,0.026
750.5,0.026
751.0,0.025
751.5,0.025
752.0,0.025
752.5,0.025
753.0,0.024
753.5,0.024
754.0,0.023
754.5,0.022
755.0,0.022
755.5,0.022
756.0,0.022
756.5,0.021
757.0,0.021
757.5,0.020
758.0,0.020
758.5,0.019
759.0,0.019
759.5,0.019
760.0,0.018
760.5,0.018
761.0,0.017
761.5,0.017
762.0,0.018
762.5,0.017
763.0,0.017
763.5,0.016
764.0,0.016
764.5,0.015
765.0,0.015
765.5,0.015
766.0,0.015
766.5,0.014
767.0,0.014
767.5,0.013
768.0,0.013
768.5,0.012
769.0,0.012
769.5,0.012
770.0,0.012
770.5,0.012
771.0,0.011
771.5,0.011
772.0,0.010
772.5,0.010
773.0,0.010
773.5,0.009
774.0,0.009
774.5,0.009
775.0,0.010
775.5,0.009
776.0,0.008
776.5,0.008
777.0,0.008
777.5,0.008
778.0,0.008
778.5,0.007
779.0,0.007
779.5,0.008
780.0,0.007
780.5,0.007
781.0,0.006
781.5,0.006
782.0,0.006
782.5,0.007
783.0,0.006
783.5,0.006
784.0,0.005
784.5,0.006
785.0,0.005
785.5,0.005
786.0,0.004
786.5,0.003
787.0,0.003
787.5,0.004
788.0,0.003
788.5,0.003
789.0,0.003
789.5,0.003
790.0,0.003
790.5,0.003
791.0,0.002
791.5,0.002
792.0,0.002
792.5,0.002
793.0,0.002
793.5,0.002
794.0,0.001
794.5,0.001
795.0,0.001
795.5,0.001
796.0,0.001
796.5,0.001
797.0,0.000
797.5,0.000
798.0,-0.000
798.5,0.000
799.0,-0.001
799.5,-0.001
800.0,-0.001
